Latitude,Longitude,Location,Maintainer,Status
49.234947000,-123.0272540,Fountain location:Aberdeen,Parks,Permanent
49.275858000,-123.0241410,Fountain location:Adanac,Parks,Permanent
49.285554000,-123.1423920,Fountain location:Alexandria,Parks,Permanent
49.260980000,-123.1847590,Fountain location:Almond,Parks,Permanent
49.278811000,-123.1061940,Fountain location:Andy Livingstone,Parks,Permanent
49.277951000,-123.1035750,Fountain location:Andy Livingstone,Parks,Permanent
49.262128000,-123.1553180,Fountain location:Arbutus Greenway,Parks,Permanent
49.248679000,-123.1579910,Fountain location:Arbutus Village,Parks,Permanent
49.245614000,-123.1753420,Fountain location:Balaclava,Parks,Permanent
49.255191000,-123.0500710,Fountain location:Beaconsfield,Parks,Permanent
49.215521000,-123.0561070,Fountain location:Bobolink,Parks,Permanent
49.247450000,-123.0662260,Fountain location:Brewers,Parks,Permanent
49.290415000,-123.0504830,Fountain location:Burrard View,Parks,Permanent
49.256926000,-123.1725140,Fountain location:Carnarvon,Parks,Permanent
49.237223000,-123.0971430,Fountain location:Cartier,Parks,Permanent
49.249585000,-123.1916880,Fountain location:Chaldecott,Parks,Permanent
49.268012000,-123.1259010,Fountain location:Charleson,Parks,Permanent
49.264372000,-123.0831340,Fountain location:China Creek North,Parks,Permanent
49.261644000,-123.0790610,Fountain location:China Creek South,Parks,Permanent
49.270699000,-123.0501370,Fountain location:Clinton,Parks,Permanent
49.271281000,-123.0516860,Fountain location:Clinton,Parks,Permanent
49.289871000,-123.1253850,Fountain location:Coal Harbour,Parks,Permanent
49.236946000,-123.0363800,Fountain location:Collingwood,Parks,Permanent
49.231825000,-123.1130050,Fountain location:Columbia,Parks,Permanent
49.262869000,-123.1593360,Fountain location:Connaught,Parks,Permanent
49.272798000,-123.1146490,Fountain location:Coopers',Parks,Permanent
49.271632000,-123.1257200,Fountain location:David Lam,Parks,Permanent
49.272394000,-123.1232890,Fountain location:David Lam,Parks,Permanent
49.285919000,-123.1209390,Fountain location:Discovery Square,Parks,Permanent
49.253089000,-123.1223170,Fountain location:Douglas,Parks,Permanent
49.251936000,-123.1225020,Fountain location:Douglas,Parks,Permanent
49.205406000,-123.1328490,Fountain location:Ebisu,Parks,Permanent
49.233484000,-123.1634010,Fountain location:Elm,Parks,Permanent
49.287419000,-123.1425730,Fountain location:English Bay,Parks,Permanent
49.286027000,-123.1430350,Fountain location:English Bay,Parks,Permanent
49.278896000,-123.1380200,Fountain location:English Bay,Parks,Permanent
49.254842000,-123.0299790,Fountain location:Falaise,Parks,Permanent
49.207130000,-123.1493370,Fountain location:Fraser River,Parks,Permanent
49.206420000,-123.1508080,Fountain location:Fraser River,Parks,Permanent
49.268389000,-123.0584280,Fountain location:Garden,Parks,Permanent
49.236498000,-123.0314110,Fountain location:Gaston,Parks,Permanent
49.212417000,-123.0936020,Fountain location:George,Parks,Permanent
49.271802000,-123.1297930,Fountain location:George Wainborn,Parks,Permanent
49.273736000,-123.0701260,Fountain location:Grandview,Parks,Permanent
49.240977000,-123.0849940,Fountain location:Grays,Parks,Permanent
49.264220000,-123.0955750,Fountain location:Guelph Park,Parks,Permanent
49.291228000,-123.1232700,Fountain location:Harbour Green,Parks,Permanent
49.290539000,-123.1231800,Fountain location:Harbour Green,Parks,Permanent
49.290001000,-123.1216940,Fountain location:Harbour Green,Parks,Permanent
49.282563000,-123.0342640,Fountain location:Hastings,Parks,Permanent
49.283438000,-123.0341080,Fountain location:Hastings,Parks,Permanent
49.283144000,-123.0429590,Fountain location:Hastings,Parks,Permanent
49.280369000,-123.0406240,Fountain location:Hastings Community,Parks,Permanent
49.280379000,-123.0382210,Fountain location:Hastings Community,Parks,Permanent
49.253929000,-123.0619860,Fountain location:John Hendry,Parks,Permanent
49.264164000,-123.1075140,Fountain location:Jonathan Rogers,Parks,Permanent
49.263954000,-123.0451520,Fountain location:Kaslo,Parks,Permanent
49.238138000,-123.0742900,Fountain location:Kensington,Parks,Permanent
49.233331000,-123.1572000,Fountain location:Kerrisdale Centennial,Parks,Permanent
49.227059000,-123.0418820,Fountain location:Killarney,Parks,Permanent
49.229195000,-123.0453430,Fountain location:Killarney,Parks,Permanent
49.247325000,-123.0745790,Fountain location:Kingcrest,Parks,Permanent
49.274387000,-123.1538260,Fountain location:Kisilano,Parks,Permanent
49.275753000,-123.1522870,Fountain location:Kitsilano,Parks,Permanent
49.276739000,-123.1517430,Fountain location:Kitsilano,Parks,Permanent
49.274969000,-123.2071640,Fountain location:Locarno,Parks,Permanent
49.229970000,-123.0985110,Fountain location:MacDonald,Parks,Permanent
49.223180000,-123.1597020,Fountain location:Maple Grove,Parks,Permanent
49.223507000,-123.1608310,Fountain location:Maple Grove,Parks,Permanent
49.205624000,-123.1389580,Fountain location:Marpole,Parks,Permanent
49.267923000,-123.1801340,Fountain location:McBride,Parks,Permanent
49.236424000,-123.0291070,Fountain location:Melbourne,Parks,Permanent
49.231241000,-123.0867390,Fountain location:Memorial South,Parks,Permanent
49.243358000,-123.1872960,Fountain location:Memorial West,Parks,Permanent
49.214828000,-123.0845990,Fountain location:Moberly,Parks,Permanent
49.287429000,-123.1422640,Fountain location:Morton,Parks,Permanent
49.273192000,-123.0742170,Fountain location:Mosaic Creek,Parks,Permanent
49.256865000,-123.1064460,Fountain location:Mount Pleasant,Parks,Permanent
49.228277000,-123.0569200,Fountain location:Nanaimo,Parks,Permanent
49.282838000,-123.1299810,Fountain location:Nelson,Parks,Permanent
49.289431000,-123.0386910,Fountain location:New Brighton,Parks,Permanent
49.289268000,-123.0366660,Fountain location:New Brighton,Parks,Permanent
49.289590000,-123.0355310,Fountain location:New Brighton,Parks,Permanent
49.238173000,-123.0508280,Fountain location:Norquay,Parks,Permanent
49.216585000,-123.1273870,Fountain location:Oak,Parks,Permanent
49.216607000,-123.1291220,Fountain location:Oak,Parks,Permanent
49.216882000,-123.1281550,Fountain location:Oak,Parks,Permanent
49.282870000,-123.0571990,Fountain location:Pandora Park,Parks,Permanent
49.242275000,-123.1135430,Fountain location:Queen Elizabeth,Parks,Permanent
49.239167000,-123.1115420,Fountain location:Queen Elizabeth,Parks,Permanent
49.237420000,-123.1056210,Fountain location:Queen Elizabeth,Parks,Permanent
49.244620000,-123.1488280,Fountain location:Quilchena,Parks,Permanent
49.252110000,-123.0420860,Fountain location:Renfrew,Parks,Permanent
49.205739000,-123.0509810,Fountain location:Riverfront,Parks,Permanent
