Latitude,Longitude,Location,Maintainer,Status
NA,NA,,6701125611,I can see my house!!
NA,NA,,6434516557,OCCUPY MAGAZINE VOLUME #3
NA,NA,,6223546133,Drinking at Sugar Beach
NA,NA,,6030795288,In Memory of Barney
NA,NA,,6000599933,"Stand There, and Watch me Burn."
NA,NA,,5941611901,Sherbourne Common fountains
43.65581,-79.380254,,4893743485,H & M
NA,NA,,4830771970,The Abandoned... or things as humans.
NA,NA,,4608030002,Fountain
43.872258,-79.31528,,4583335206,Night Fountain
NA,NA,,4450985803,Blueberry Geyser
NA,NA,,4450988511,Don't Eat the Dry Ice
NA,NA,,4315341017,Harriet Lee - Gipsy Fortune Teller 6/7
NA,NA,,4315342045,Harriet Lee - Gipsy Fortune Teller 4/7
NA,NA,,4315342357,Harriet Lee - Gipsy Fortune Teller 1/7
NA,NA,,4315342291,Harriet Lee - Gipsy Fortune Teller 2/7
NA,NA,,4315341979,Harriet Lee - Gipsy Fortune Teller 5/7
NA,NA,,4315342425,Harriet Lee - Gipsy Fortune Teller 3/7
NA,NA,,4301415181,Blue Fountain
43.669687,-79.299724,,4261841446,"memorial fountain, kew gardens"
NA,NA,,4257089163,20100106007
NA,NA,,4135381794,Urban Water
NA,NA,,4106486845,Night Experiments I [14 of 25]
NA,NA,,4107250360,Night Experiments I [4 of 25]
NA,NA,,4065242899,Drinking Fountain
43.655794,-79.379954,,3685007211,fountain boy
43.678665,-79.332071,,3583094157,TTC says - don't drink the water!?
43.638633,-79.385908,,3559187765,Nate and mark Drinking from the 'Fountain' - DOGS!
43.640834,-79.384288,,3534506971,Water Fountain
NA,NA,,3499449250,Don't drink out of the toilet!
43.68347,-79.409308,,3164528936,"Stillwater (No Men, No Soda) (in Kodachrome 64)"
NA,NA,,3071004022,CAF21
NA,NA,,3062245824,The Bird Bidet
NA,NA,,2994825681,Water of Life
NA,NA,,2993851612,That fountain
NA,NA,,2794173522,Tap Water Delivers
NA,NA,,2736990570,The Drinking Fountain
NA,NA,,2717411937,Hero Certified Burgers – 4oz Hero Burger
43.656039,-79.380088,,2674407859,Fountains of Sean
NA,NA,,2673782165,101_0039
NA,NA,,2666347374,Tip: Take food/fuel!
NA,NA,,2650838175,*Glub* *Glub*
NA,NA,,2571739590,"Sonya's Park, Kensington Market"
NA,NA,,2545232416,"The Dog"" """
43.658278,-79.399995,,2405866555,Victorian Drinking Fountain
43.669229,-79.402538,,2237832182,Serving drink through an ice fountain
NA,NA,,1133288778,Thirsty
NA,NA,,1098595415,Joel @ Fountain Square
NA,NA,,573514195,Thirsty pigeon
43.656167,-79.380705,,512286621,Water Fountain Fun
NA,NA,,503884668,Happy Hour
NA,NA,,503295862,Drinks!
NA,NA,,485939794,Man Water
NA,NA,,347759729,Hamilton Gear
NA,NA,,304924294,autumn refreshing
NA,NA,,274078590,fountain art
NA,NA,,193114748,My Toronto Includes Anna Saini
NA,NA,,6110120811,drinking fountain
NA,NA,,5985657153,Fountain of Youth
NA,NA,,5948615315,IMG_7887
43.656074,-79.380544,,5800114585,Taking a drink
NA,NA,,5214931068,Barney's Legacy
43.623288,-79.362703,,5125907741,near Snake Island 100918-8583a
NA,NA,,5118760153,Sip of Canada
43.621524,-79.379739,,5109024180,Drinking fountain
43.656089,-79.402237,,5012967338,Flower in drinking fountain
NA,NA,,4703038245,Sexy Lighting
43.774471,-79.305624,,4628542018,Drinking Fountain
NA,NA,,4572263926,Roundhouse crossing
43.683786,-79.409458,,4484487461,haws fountain
NA,NA,,4037826067,Drink's On Me...
43.733686,-79.36035,,3858423864,Pathway up to greenhouses
NA,NA,,3649627805,054
NA,NA,,3636144675,Urban Dog
NA,NA,,3453300811,Solitário
NA,NA,,3325197090,Drinking fountains 
NA,NA,,2889907688,lamf_fountain
NA,NA,,2860824958,View of the Cannon by the Beach at Marie Curtis Park..
43.656109,-79.380447,,2831412012,Water fountains in Dundas Square
NA,NA,,2809037283,St James park on King
NA,NA,,2791211909,City Hall
NA,NA,,2711271507,Lick's – Homeburger Combo
NA,NA,,2566241323,Woofstock '08
43.634646,-79.404968,,2417930788,DSC_5428
43.656229,-79.380555,,1469432640,Thirsty Gryffin
NA,NA,,1458771107,Bird fountain bath
NA,NA,,1430695562,Drinking from the fountain
NA,NA,,1375804535,The Thirsty Traveller
NA,NA,,1099429256,Midnight Nap
NA,NA,,1057012952,Flash Howard
43.662112,-79.374793,,698188738,Spits-1.jpg
NA,NA,,393320341,Water Cooler
NA,NA,,392558954,Water Fountain
NA,NA,,378735301,Drinking Fountain
43.663991,-79.435057,,327272403,Thirsty?
43.920501,-80.094248,,290179682,Democratic drinking fountain
NA,NA,,221130813,Playing with Ollie is Exhausting work!
NA,NA,,213577164,Drink up
NA,NA,,187257994,When Taps Run Dry
NA,NA,,169936512,Ollie's drink
NA,NA,,6767099993,"Boy at drinking fountain on and Granville Street, Vancouver, 192-. Philip Timms photograph"
NA,NA,,6434516557,OCCUPY MAGAZINE VOLUME #3
49.274748,-123.207435,,6320700456,Drinking Fountain
NA,NA,,6267509947,Wall Trough.
NA,NA,,6248374151,Waiting for Godot...to get back from Starbucks
48.906366,-125.518455,,6163560732,The Mystic Land of Kubla Khan (Explored)
NA,NA,,6125378700,Beach Drinking Fountain
49.295016,-123.147811,,6092603253,Drinking Fountain Along The Seawall
49.279141,-123.129111,,6090646173,Van drinking fountain
48.425078,-123.36934,,5941706425,bottled water fountains
49.26297,-123.159399,,5933708515,Drinking fountain
NA,NA,,5764827311,08100 Too short 1979
49.23587,-122.981643,,5735118276,Frozen Water
NA,NA,,5521326464,thirsty?
49.301397,-123.156695,,5464444692,Bebedero
49.227049,-123.043323,,5384618153,No liquids in the drinking fountain!
NA,NA,,5250568404,found in a noose at the fountain of youth video
NA,NA,,5077650670,Water
NA,NA,,4866057959,Vancouver Portable Drinking Water Station
NA,NA,,4863019003,Drinking Fountains in Vancouver
NA,NA,,4699645421,Water stop
NA,NA,,4651635891,BED event debut to Sex and the City 2
NA,NA,,4591729069,sh127/365
NA,NA,,4586291474,Royal BC Museum Fountain
NA,NA,,4527137015,aw100416 (137/365)
NA,NA,,4504451687,Drinking fountains for yourself and your pet dog
NA,NA,,4452015483,Vancouver Art Gallery Fountain - 1910s/2010
NA,NA,,4450539066,Julian with water fountain
NA,NA,,4401055638,Splash
NA,NA,,4361535171,Concord Pacific with Russia House (lighted dome) and fountain
NA,NA,,4231567958,frozen bubbles
NA,NA,,4118987078,_GMP2006tu.jpg
NA,NA,,4109626322,None
NA,NA,,4022931096,Blue Lights
NA,NA,,3890560447,water fountain
49.297479,-123.136653,,3804541763,And the Rains Came.....
NA,NA,,3753621877,fountain girl
49.289617,-123.12115,,3723929714,Summer in the city
NA,NA,,3722808318,"Drinking fountain, Nelson Park, West End, Vancouver"
NA,NA,,3679240337,Vancouver
NA,NA,,3657768008,Drinking fountain  at Crescent Beach
49.285919,-123.060135,,3623979271,Aww... Cozy Cat Sahara's sweet smile says it all about why she's a repeat guest!  *Purr*
NA,NA,,3576972602,Drink 2
NA,NA,,3576970122,Drink
NA,NA,,3418741182,i has a thirsty
49.285919,-123.060135,,3391608468,Oxygenated filtered water fountains: Cats drink healthy water
49.300679,-123.132791,,3358930084,Water Fountain
49.272498,-123.123357,,3339878646,water fountain david lam park yaletown vancouver
NA,NA,,3225989173,"Crow in Stanley Park, Vancouver - WM"
NA,NA,,3208626984,Trader Vic bar in Vegas
NA,NA,,3091579916,None
51.522205,-0.106784,,2985985908,Metropolitan Drinking Fountain and Cattle Trough (End View) [#4428]
51.522205,-0.106784,,2985984834,Metropolitan Drinking Fountain and Cattle Trough (End View) [#4427]
51.522205,-0.106784,,2985983708,Metropolitan Drinking Fountain and Cattle Trough (End View) [#4426]
NA,NA,,2960813412,Take a Drink
49.282819,-123.04019,,2824478608,Drink from my mouth
